,Epithelial,Tcell,Bcell,Myeloid,Stromal
EPCAM,0.17857862562044088,0.17857862562044088,0.17857862562044088,0.17857862562044088,0.17857862562044088
KRT8,5.322129911954664,5.322129911954664,5.322129911954664,5.322129911954664,5.322129911954664
KRT18,3.0469522507147557,3.0469522507147557,3.0469522507147557,15.09165329337386,3.0469522507147557
KRT19,7.283756089759059,1.4705649924447206,1.4705649924447206,1.4705649924447206,1.4705649924447206
KRT5,1.2004594366391332,1.2004594366391332,1.2004594366391332,1.2004594366391332,1.2004594366391332
KRT14,4.566258727285921,22.61682753442434,4.566258727285921,4.566258727285921,4.566258727285921
CDH1,3.790347540521135,3.790347540521135,3.790347540521135,3.790347540521135,3.790347540521135
CDX2,3.5745852889340943,3.5745852889340943,3.5745852889340943,3.5745852889340943,3.5745852889340943
VIL1,1.652596761693048,1.652596761693048,1.652596761693048,1.652596761693048,1.652596761693048
MUC2,0.6810284959291368,0.6810284959291368,3.373156222274052,0.6810284959291368,0.6810284959291368
LGR5,2.3252726831077895,2.3252726831077895,2.3252726831077895,2.3252726831077895,2.3252726831077895
OLFM4,2.453820249836614,2.453820249836614,2.453820249836614,2.453820249836614,2.453820249836614
TFF3,0.8108264713114363,0.8108264713114363,0.8108264713114363,0.8108264713114363,0.8108264713114363
REG4,0.6795164676600324,0.6795164676600324,0.6795164676600324,0.6795164676600324,0.6795164676600324
SPINK4,3.4786510749963835,3.4786510749963835,3.4786510749963835,3.4786510749963835,3.4786510749963835
AGR2,6.237177271173001,6.237177271173001,6.237177271173001,6.237177271173001,6.237177271173001
CEACAM5,0.4385263582219276,0.4385263582219276,0.4385263582219276,0.4385263582219276,0.4385263582219276
CEACAM6,0.7484773448419305,0.7484773448419305,0.7484773448419305,0.7484773448419305,0.7484773448419305
MKI67,1.471123484572084,1.471123484572084,1.471123484572084,1.471123484572084,1.471123484572084
PCNA,1.7078903536038845,1.7078903536038845,1.7078903536038845,1.7078903536038845,1.7078903536038845
TOP2A,0.5629283097109364,0.5629283097109364,0.5629283097109364,0.5629283097109364,2.7882021706082036
CCND1,7.939677786406129,7.939677786406129,7.939677786406129,7.939677786406129,7.939677786406129
MYC,1.5909077926778328,1.5909077926778328,1.5909077926778328,1.5909077926778328,1.5909077926778328
TP53,1.7941327352219134,1.7941327352219134,1.7941327352219134,1.7941327352219134,1.7941327352219134
CTNNB1,6.922468942965319,6.922468942965319,6.922468942965319,6.922468942965319,6.922468942965319
AXIN2,0.6102004386915602,0.6102004386915602,0.6102004386915602,3.022342558219421,0.6102004386915602
ASCL2,0.907306404399303,0.907306404399303,0.907306404399303,0.907306404399303,0.907306404399303
SOX9,0.2519172919414594,0.2519172919414594,0.2519172919414594,0.2519172919414594,0.2519172919414594
